Asset_Class,Region,Currency,Commission,Commission_Type,Min,Min_Type,Max,Max_Type
STK,UNITED_STATES,USD,0.0035,ABSOLUTE,0.35,ABSOLUTE,0.01,RELATIVE
STK,UNITED_KINGDOM,USD,0.0005,RELATIVE,1.7,ABSOLUTE,39,ABSOLUTE
